name,sex,age,height,weight,country,sport
Bronte Amelia Arnold Barratt,F,27.0,171.0,59.0,Australia,Swimming
Esteban Jos Enderica Salgado,M,25.0,177.0,71.0,Ecuador,Swimming
Nataliya Serhivna Lehonkova,F,33.0,161.0,48.0,Ukraine,Athletics
Ana Mara Gallay,F,30.0,174.0,66.0,Argentina,Beach Volleyball
"Francisco Augusto ""Chico"" Neto Ramos",M,21.0,185.0,80.0,Portugal,Football
Ratu Tevita Waranaivalu,M,20.0,172.0,72.0,Fiji,Football
Rohan Dennis,M,26.0,182.0,72.0,Australia,Cycling
Sultan Mubarak M. Al-Dawoodi,M,31.0,192.0,86.0,Saudi Arabia,Athletics
Ryunosuke Haga,M,25.0,186.0,100.0,Japan,Judo
Irina Yuryevna Dolgova,F,20.0,153.0,48.0,Russia,Judo
Alexis Rubn Gonzlez,M,35.0,184.0,85.0,Argentina,Volleyball
Michael Tayler,M,24.0,175.0,69.0,Canada,Canoeing
Andrew Fisher,M,24.0,,,Bahrain,Athletics
Charlotte Becker,F,33.0,173.0,64.0,Germany,Cycling
Stephen Kiprotich,M,27.0,172.0,56.0,Uganda,Athletics
Beatrice Gyaman,F,29.0,162.0,53.0,Ghana,Athletics
Nadiya Dusanova,F,28.0,174.0,56.0,Uzbekistan,Athletics
Alana Boyd,F,32.0,171.0,59.0,Australia,Athletics
Gladys Lucy Tejeda Pucuhuaranga,F,30.0,156.0,47.0,Peru,Athletics
Paolo Csar Yurivilca Caldern,M,20.0,169.0,62.0,Peru,Athletics
Amber Rose Kelsey Stackpole,F,21.0,165.0,55.0,Australia,Synchronized Swimming
Roberta Vinci,F,33.0,164.0,58.0,Italy,Tennis
Shin Seung-Chan,F,21.0,173.0,70.0,South Korea,Badminton
Xu Yifan,F,27.0,165.0,60.0,China,Tennis
Lilia Fisikovici (Tozlovanu-),F,27.0,170.0,52.0,Moldova,Athletics
Tavis Bailey,M,24.0,191.0,125.0,USA,Athletics
gatha Bednarczuk Rippel,F,33.0,182.0,70.0,Brazil,Beach Volleyball
Asley Gonzlez Montero,M,26.0,179.0,90.0,Cuba,Judo
Tiago Andr Barata Feio Peixoto Apolnia,M,30.0,185.0,76.0,Portugal,Table Tennis
"Mathlynn Langtor ""Mattie"" Sasser",F,19.0,158.0,58.0,Marshall Islands,Weightlifting
Viktoriya Vladimirovna Chayka,F,35.0,164.0,50.0,Belarus,Shooting
